statid;timeobs;jordtemperatur 1m (Â°C);label
610200;20090101;5.4;1100
610200;20090102;5.1;1100
610200;20090103;5.0;1100
610200;20090104;4.9;1100
610200;20090105;4.8;1100
610200;20090106;4.8;1100
610200;20090107;4.7;1100
610200;20090108;4.6;1100
610200;20090109;4.5;1100
610200;20090110;4.5;1100
610200;20090111;4.4;1100
610200;20090112;4.3;1100
610200;20090113;4.2;1100
610200;20090114;4.1;1100
610200;20090115;4.0;1100
610200;20090116;4.0;1100
610200;20090117;3.9;1100
610200;20090118;3.8;1100
610200;20090119;3.8;1100
610200;20090120;3.7;1100
610200;20090121;3.6;1100
610200;20090122;3.5;1100
610200;20090123;3.4;1100
610200;20090124;3.3;1100
610200;20090125;3.3;1100
610200;20090126;3.2;1100
610200;20090127;3.3;1100
610200;20090128;3.5;1100
610200;20090129;3.7;1100
610200;20090130;3.8;1100
610200;20090131;4.0;1100
610200;20090201;4.1;1100
610200;20090202;4.3;1100
610200;20090203;4.4;1100
610200;20090204;4.4;1100
610200;20090205;4.3;1100
610200;20090206;4.3;1100
610200;20090207;4.3;1100
610200;20090208;4.3;1100
610200;20090209;4.3;1100
610200;20090210;4.3;1100
610200;20090211;4.2;1100
610200;20090212;4.2;1100
610200;20090213;4.1;1100
610200;20090214;4.0;1100
610200;20090215;4.0;1100
610200;20090216;3.8;1100
610200;20090217;3.7;1100
610200;20090218;3.6;1100
610200;20090219;3.6;1100
610200;20090220;3.6;1100
610200;20090221;3.7;1100
610200;20090222;3.8;1100
610200;20090223;3.8;1100
610200;20090224;3.9;1100
610200;20090225;4.0;1100
610200;20090226;3.9;1100
610200;20090227;3.9;1100
610200;20090228;3.7;1100
610200;20060301;3.6;1100
610200;20060302;3.5;1100
610200;20060303;3.4;1100
610200;20060304;3.2;1100
610200;20060305;3.1;1100
610200;20060306;3.1;1100
610200;20060307;3.1;1100
610200;20060308;3.1;1100
610200;20060309;3.3;1100
610200;20060310;3.4;1100
610200;20060311;3.6;1100
610200;20060312;3.8;1100
610200;20060313;4.1;1100
610200;20060314;4.3;1100
610200;20060315;4.3;1100
610200;20060316;4.1;1100
610200;20060317;3.9;1100
610200;20060318;3.7;1100
610200;20060319;3.4;1100
610200;20060320;3.1;1100
610200;20060321;2.8;1100
610200;20060322;2.8;1100
610200;20060323;2.8;1100
610200;20060324;2.7;1100
610200;20060325;2.7;1100
610200;20060326;2.7;1100
610200;20060327;2.6;1100
610200;20060328;2.6;1100
610200;20060329;2.6;1100
610200;20060330;2.6;1100
610200;20060331;2.6;1100
610200;20100401;2.5;1100
610200;20100402;2.5;1100
610200;20100403;2.5;1100
610200;20100404;2.6;1100
610200;20100405;2.6;1100
610200;20100406;2.7;1100
610200;20100407;2.7;1100
610200;20100408;2.8;1100
610200;20100409;2.9;1100
610200;20100410;3.1;1100
610200;20100411;3.5;1100
610200;20100412;3.9;1100
610200;20100413;4.2;1100
610200;20100414;4.6;1100
610200;20100415;5.1;1100
610200;20100416;5.5;1100
610200;20100417;5.7;1100
610200;20100418;5.8;1100
610200;20100419;5.9;1100
610200;20100420;6.0;1100
610200;20100421;6.2;1100
610200;20100422;6.3;1100
610200;20100423;6.5;1100
610200;20100424;6.6;1100
610200;20100425;6.8;1100
610200;20100426;7.0;1100
610200;20100427;7.2;1100
610200;20100428;7.3;1100
610200;20100429;7.4;1100
610200;20100430;7.5;1100
610200;20060501;7.6;1100
610200;20060502;7.6;1100
610200;20060503;7.6;1100
610200;20060504;7.5;1100
610200;20060505;7.4;1100
610200;20060506;7.3;1100
610200;20060507;7.1;1100
610200;20060508;7.0;1100
610200;20060509;7.0;1100
610200;20060510;7.1;1100
610200;20060511;7.2;1100
610200;20060512;7.5;1100
610200;20060513;7.8;1100
610200;20060514;8.1;1100
610200;20060515;8.3;1100
610200;20060516;8.5;1100
610200;20060517;8.6;1100
610200;20060518;8.8;1100
610200;20060519;8.9;1100
610200;20060520;9.1;1100
610200;20060521;9.2;1100
610200;20060522;9.4;1100
610200;20060523;9.7;1100
610200;20060524;9.9;1100
610200;20060525;10.1;1100
610200;20060526;10.2;1100
610200;20060527;10.3;1100
610200;20060528;10.3;1100
610200;20060529;10.3;1100
610200;20060530;10.1;1100
610200;20060531;10.0;1100
610200;20050601;9.9;1100
610200;20050602;9.9;1100
610200;20050603;9.8;1100
610200;20050604;9.9;1100
610200;20050605;10.0;1100
610200;20050606;10.1;1000
610200;20050607;10.2;1100
610200;20050608;10.3;1100
610200;20050609;10.3;1100
610200;20050610;10.3;1100
610200;20050611;10.3;1100
610200;20050612;10.3;1100
610200;20050613;10.2;1100
610200;20050614;10.3;1100
610200;20050615;10.5;1100
610200;20050616;10.7;1100
610200;20050617;10.8;1100
610200;20050618;11.1;1100
610200;20050619;11.3;1100
610200;20050620;11.4;1100
610200;20050621;11.5;1100
610200;20050622;11.5;1100
610200;20050623;11.6;1100
610200;20050624;11.7;1100
610200;20050625;11.7;1100
610200;20050626;11.8;1100
610200;20050627;11.8;1100
610200;20050628;11.8;1100
610200;20050629;11.9;1100
610200;20050630;12.0;1100
610200;20090701;12.1;1100
610200;20090702;12.2;1100
610200;20090703;12.3;1100
610200;20090704;12.6;1100
610200;20090705;12.9;1100
610200;20090706;13.2;1100
610200;20090707;13.3;1100
610200;20090708;13.5;1100
610200;20090709;13.7;1100
610200;20090710;13.8;1100
610200;20090711;13.9;1100
610200;20090712;13.8;1100
610200;20090713;13.8;1100
610200;20090714;13.9;1100
610200;20090715;14.1;1100
610200;20090716;14.4;1100
610200;20090717;14.7;1100
610200;20090718;15.1;1100
610200;20090719;15.6;1100
610200;20090720;15.9;1100
610200;20090721;16.2;1100
610200;20090722;16.1;1100
610200;20090723;16.0;1100
610200;20090724;15.8;1100
610200;20090725;15.5;1100
610200;20090726;15.3;1100
610200;20090727;15.1;1100
610200;20090728;15.0;1100
610200;20090729;15.0;1100
610200;20090730;15.1;1100
610200;20090731;15.2;1100
610200;20090801;15.3;1100
610200;20090802;15.4;1100
610200;20090803;15.4;1100
610200;20090804;15.3;1100
610200;20090805;15.2;1100
610200;20090806;15.1;1100
610200;20090807;15.0;1100
610200;20090808;14.9;1100
610200;20090809;14.8;1100
610200;20090810;14.7;1100
610200;20090811;14.7;1000
610200;20090812;14.7;1000
610200;20090813;14.6;1100
610200;20090814;14.6;1100
610200;20090815;14.5;1100
610200;20090816;14.5;1100
610200;20090817;14.5;1100
610200;20090818;14.5;1100
610200;20090819;14.6;1100
610200;20090820;14.8;1100
610200;20090821;15.0;1100
610200;20090822;15.2;1100
610200;20090823;15.5;1100
610200;20090824;15.7;1100
610200;20090825;15.9;1100
610200;20090826;15.9;1100
610200;20090827;15.9;1100
610200;20090828;15.8;1100
610200;20090829;15.6;1100
610200;20090830;15.4;1100
610200;20090831;15.2;1100
610200;20090901;15.0;1100
610200;20090902;14.8;1100
610200;20090903;14.7;1100
610200;20090904;14.8;1100
610200;20090905;14.8;1100
610200;20090906;14.8;1100
610200;20090907;14.8;1100
610200;20090908;14.8;1100
610200;20090909;14.8;1100
610200;20090910;14.8;1100
610200;20090911;14.8;1100
610200;20090912;14.7;1100
610200;20090913;14.6;1100
610200;20090914;14.4;1100
610200;20090915;14.3;1100
610200;20090916;14.3;1100
610200;20090917;14.2;1100
610200;20090918;14.1;1100
610200;20090919;13.9;1100
610200;20090920;13.9;1100
610200;20090921;13.9;1100
610200;20090922;13.9;1100
610200;20090923;13.9;1100
610200;20090924;13.9;1100
610200;20090925;13.8;1100
610200;20090926;13.9;1100
610200;20090927;13.9;1100
610200;20090928;13.8;1100
610200;20090929;13.7;1100
610200;20090930;13.5;1100
610200;20081001;13.3;1100
610200;20081002;13.1;1100
610200;20081003;12.9;1100
610200;20081004;12.7;1100
610200;20081005;12.6;1100
610200;20081006;12.4;1100
610200;20081007;12.4;1100
610200;20081008;12.4;1100
610200;20081009;12.3;1100
610200;20081010;12.3;1100
610200;20081011;12.3;1100
610200;20081012;12.4;1100
610200;20081013;12.4;1100
610200;20081014;12.3;1100
610200;20081015;12.2;1100
610200;20081016;12.0;1100
610200;20081017;11.8;1100
610200;20081018;11.6;1100
610200;20081019;11.3;1100
610200;20081020;11.1;1100
610200;20081021;10.8;1100
610200;20081022;10.6;1100
610200;20081023;10.5;1100
610200;20081024;10.5;1100
610200;20081025;10.5;1100
610200;20081026;10.5;1100
610200;20081027;10.6;1100
610200;20081028;10.8;1100
610200;20081029;10.9;1100
610200;20081030;11.0;1100
610200;20081031;10.9;1100
610200;20101101;10.8;1100
610200;20101102;10.7;1100
610200;20101103;10.6;1100
610200;20101104;10.5;1100
610200;20101105;10.4;1100
610200;20101106;10.2;1100
610200;20101107;10.1;1100
610200;20101108;10.0;1100
610200;20101109;10.0;1100
610200;20101110;9.9;1100
610200;20101111;9.7;1100
610200;20101112;9.5;1100
610200;20101113;9.3;1100
610200;20101114;9.1;1100
610200;20101115;9.0;1100
610200;20101116;8.9;1100
610200;20101117;8.8;1100
610200;20101118;8.8;1100
610200;20101119;8.8;1100
610200;20101120;8.8;1100
610200;20101121;8.8;1100
610200;20101122;8.5;1100
610200;20101123;8.2;1100
610200;20101124;7.9;1100
610200;20101125;7.5;1100
610200;20101126;7.2;1100
610200;20101127;6.9;1100
610200;20101128;6.8;1100
610200;20101129;6.8;1100
610200;20101130;6.8;1100
610200;20091201;6.7;1100
610200;20091202;6.7;1100
610200;20091203;6.6;1100
610200;20091204;6.5;1100
610200;20091205;6.4;1100
610200;20091206;6.3;1100
610200;20091207;6.2;1100
610200;20091208;6.1;1100
610200;20091209;6.0;1100
610200;20091210;5.8;1100
610200;20091211;5.6;1100
610200;20091212;5.3;1100
610200;20091213;5.1;1100
610200;20091214;4.9;1100
610200;20091215;5.1;1100
610200;20091216;5.2;1100
610200;20091217;5.3;1100
610200;20091218;5.4;1100
610200;20091219;5.7;1100
610200;20091220;5.9;1100
610200;20091221;6.1;1100
610200;20091222;6.1;1100
610200;20091223;6.3;1100
610200;20091224;6.5;1100
610200;20091225;6.6;1100
610200;20091226;6.7;1100
610200;20091227;6.6;1100
610200;20091228;6.5;1100
610200;20091229;6.2;1100
610200;20091230;6.0;1100
610200;20091231;5.7;1100
